,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,11101.0,178.834,78.398,42.387,14.461,17.344,511.0,387.38,352.0,178.53,139.11,43.52,51.01
1,11102.0,179.772,78.347,41.761,13.627,16.434,433.0,309.31,251.0,295.87,134.07,43.51,51.01
2,11103.0,182.89,81.542,44.395,14.676,17.365,545.0,434.07,370.0,295.83,138.81,47.74,51.155
3,11104.0,155.769,57.602,26.905,11.255,13.8,370.0,192.31,149.0,295.88,117.02,36.01,36.03
4,11105.0,148.931,52.216,23.641,11.477,13.901,327.0,195.06,155.0,85.5,71.06,36.01,43.52
mean,11103.0,169.239,69.621,35.818,13.1,15.769,437.2,303.626,255.4,230.322,120.014,41.358,46.545
max,11105.0,182.89,81.542,44.395,14.676,17.365,545.0,434.07,370.0,295.88,139.11,47.74,51.155
