,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4001.0,130.656,30.343,9.875,5.664,6.905,270.667,124.003,81.667,28.553,34.59,13.5,13.503
1,4004.0,142.424,41.682,17.025,7.146,8.605,345.667,177.823,126.333,65.283,56.243,16.027,21.0
2,4007.0,142.125,41.716,17.2,7.247,8.749,319.333,191.49,155.667,61.037,62.047,18.5,18.573
3,4010.0,154.338,53.892,24.874,9.312,11.274,343.667,225.677,176.333,234.257,99.66,26.01,28.513
4,4013.0,163.201,62.207,30.085,10.837,13.219,439.0,296.613,234.667,236.76,126.907,28.733,36.01
5,4016.0,183.117,81.95,44.418,14.913,17.736,484.0,344.553,280.333,295.86,138.403,48.513,55.73
mean,4008.5,152.643,51.965,23.913,9.187,11.081,367.056,226.693,175.833,153.625,86.308,25.214,28.888
max,4016.0,183.117,81.95,44.418,14.913,17.736,484.0,344.553,280.333,295.86,138.403,48.513,55.73
