,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4143.0,130.737,30.414,9.956,5.63,6.846,259.667,121.283,77.333,29.037,26.907,13.5,13.5
1,4146.0,142.752,42.009,17.338,7.227,8.682,307.667,154.307,121.0,135.157,61.6,17.27,21.0
2,4149.0,141.696,41.288,16.941,7.278,8.784,314.333,175.037,129.667,51.52,54.53,18.5,18.563
3,4152.0,154.416,53.952,25.04,9.374,11.358,388.667,256.017,211.0,169.063,108.19,26.243,28.54
4,4155.0,165.455,64.426,32.078,11.557,13.977,460.333,320.03,250.333,295.82,130.883,33.983,38.573
5,4158.0,197.764,96.256,56.68,18.655,21.242,664.0,550.297,485.333,292.473,142.727,66.01,68.222
mean,4150.5,155.47,54.724,26.339,9.953,11.815,399.111,262.828,212.444,162.178,87.473,29.251,31.4
max,4158.0,197.764,96.256,56.68,18.655,21.242,664.0,550.297,485.333,295.82,142.727,66.01,68.222
