,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4043.0,130.817,30.485,9.937,5.677,6.939,244.0,103.333,73.0,31.987,31.583,13.5,13.51
1,4046.0,142.66,41.906,17.194,7.119,8.602,329.667,199.007,154.333,244.02,56.523,16.037,21.0
2,4049.0,141.593,41.195,16.799,7.259,8.782,311.0,174.09,124.333,128.097,56.297,18.5,18.595
3,4052.0,153.695,53.278,24.446,9.273,11.242,363.0,214.503,158.0,111.053,113.73,23.753,28.51
4,4055.0,169.157,67.962,34.922,12.32,14.729,458.333,332.903,259.667,328.117,142.023,37.433,41.177
5,4058.0,199.704,98.098,57.742,19.015,21.762,650.0,525.833,428.667,328.113,143.267,68.513,68.63
6,4061.0,615.608,506.987,430.409,60.198,55.368,4545.667,4417.273,4200.333,366.323,299.473,180.727,140.72
mean,4052.0,221.891,119.987,84.493,17.266,18.204,985.952,852.42,771.19,219.673,120.414,51.209,47.449
max,4061.0,615.608,506.987,430.409,60.198,55.368,4545.667,4417.273,4200.333,366.323,299.473,180.727,140.72
