,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4064.0,175.297,74.8,48.021,7.936,8.662,366.0,230.647,172.667,43.59,46.463,21.0,21.0
1,4067.0,183.091,82.204,51.008,10.695,12.027,422.667,277.763,206.333,167.643,106.187,28.5,28.733
2,4070.0,182.121,81.595,50.59,10.587,11.95,408.333,261.653,184.333,103.787,101.593,28.517,31.01
3,4073.0,194.215,93.612,56.606,13.896,16.134,486.0,346.65,233.0,295.86,140.733,43.225,44.268
4,4076.0,209.535,108.197,66.043,16.563,19.335,588.333,441.99,314.333,254.247,142.18,50.768,56.202
5,4079.0,240.202,138.292,85.365,21.841,25.226,777.667,641.973,435.0,295.853,145.057,78.215,78.743
6,4082.0,364.935,259.992,175.936,39.296,40.759,1718.667,1554.87,1198.667,316.843,252.523,163.243,133.797
mean,4073.0,221.342,119.813,76.224,17.259,19.156,681.095,536.507,392.048,211.118,133.534,59.067,56.25
max,4082.0,364.935,259.992,175.936,39.296,40.759,1718.667,1554.87,1198.667,316.843,252.523,163.243,133.797
