,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4101.0,131.128,30.804,10.187,5.729,6.979,243.0,106.377,72.0,29.033,33.797,13.5,13.51
1,4104.0,142.568,41.825,17.321,7.235,8.684,314.667,169.907,132.333,135.123,63.563,16.267,21.0
2,4107.0,142.008,41.612,17.075,7.274,8.835,314.0,164.133,119.333,56.537,61.487,18.5,18.615
3,4110.0,154.151,53.707,24.828,9.359,11.346,346.333,207.997,164.333,172.617,103.387,28.5,28.523
4,4113.0,164.464,63.438,31.246,11.21,13.611,415.667,276.76,215.0,231.76,107.13,34.563,37.49
5,4116.0,181.17,80.055,43.369,14.377,17.12,497.667,376.2,308.333,328.107,137.473,46.013,53.51
mean,4108.5,152.582,51.907,24.004,9.197,11.096,355.222,216.896,168.556,158.863,84.473,26.224,28.775
max,4116.0,181.17,80.055,43.369,14.377,17.12,497.667,376.2,308.333,328.107,137.473,46.013,53.51
