,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4201.0,133.452,32.202,11.216,5.862,7.022,261.667,123.743,84.333,31.503,31.373,13.5,13.51
1,4204.0,144.802,43.15,17.822,7.324,8.85,335.667,169.87,121.667,48.543,59.417,18.55,21.003
2,4207.0,144.711,43.32,17.852,7.502,9.131,318.0,176.587,130.667,81.08,83.483,18.503,21.202
3,4210.0,159.172,57.829,27.504,9.963,12.029,394.0,264.217,194.333,281.537,108.89,28.512,31.18
4,4213.0,174.9,72.872,38.238,12.912,15.338,551.667,412.573,318.0,295.85,140.467,38.513,43.68
5,4216.0,204.696,102.134,60.138,18.194,20.974,681.667,560.66,491.667,295.847,142.68,66.01,63.553
mean,4208.5,160.289,58.585,28.795,10.293,12.224,423.778,284.608,223.444,172.393,94.385,30.598,32.355
max,4216.0,204.696,102.134,60.138,18.194,20.974,681.667,560.66,491.667,295.85,142.68,66.01,63.553
