,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4122.0,174.762,74.274,47.525,7.901,8.63,351.667,223.13,165.333,46.04,49.017,21.0,21.0
1,4125.0,181.972,81.101,50.346,10.482,11.778,398.667,256.487,184.0,160.143,86.593,28.5,28.543
2,4128.0,181.168,80.651,50.035,10.406,11.728,409.0,268.423,195.333,78.527,81.857,26.26,31.007
3,4131.0,191.172,90.653,55.157,13.231,15.253,447.667,302.063,211.0,190.4,118.417,36.013,43.51
4,4134.0,199.006,97.933,59.734,14.683,17.055,532.0,391.52,291.667,239.26,133.217,43.51,45.918
5,4137.0,206.536,105.516,64.072,16.113,18.937,522.333,399.507,286.667,251.757,135.967,46.132,53.35
mean,4129.5,189.103,88.355,54.478,12.136,13.897,443.556,306.855,222.333,161.021,100.844,33.569,37.221
max,4137.0,206.536,105.516,64.072,16.113,18.937,532.0,399.507,291.667,251.757,135.967,46.132,53.35
