Unnamed: 0,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,-42.0,0.391,0.39,0.231,0.099,0.133,-16.667,-14.906,-5.333,-0.004,6.89,0.0,0.01
1,-42.0,-0.184,-0.184,-0.017,0.008,0.002,7.0,15.6,11.333,-0.034,1.963,-1.003,0.0
2,-42.0,0.312,0.324,0.134,-0.004,0.051,-0.333,-10.904,-10.334,5.017,6.957,0.0,0.052
3,-42.0,-0.265,-0.245,-0.212,-0.015,-0.012,-42.334,-48.02,-46.667,3.554,-4.803,2.257,-0.017
4,-42.0,-0.991,-0.988,-0.832,-0.347,-0.366,-44.666,-43.27,-35.333,-64.06,-23.753,0.58,-1.083
5,-42.0,-16.594,-16.201,-13.311,-4.278,-4.122,-166.333,-174.097,-177.0,35.634,-5.254,-19.997,-14.712
mean,-42.0,-2.888,-2.817,-2.335,-0.756,-0.719,-43.889,-45.932,-43.888,-3.315,-3.0,-3.027,-2.625
max,-42.0,-16.594,-16.201,-13.311,-4.278,-4.122,-166.333,-174.097,-177.0,32.287,-5.254,-19.997,-14.712
