,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4285.0,264.16,134.832,86.067,9.524,10.759,1056.0,655.39,458.0,147.633,76.183,27.423,28.5
1,4288.0,351.994,207.823,128.252,15.509,18.448,1827.0,1245.947,800.333,207.693,139.043,48.217,53.625
2,4291.0,358.149,218.101,136.168,16.371,19.296,1795.0,1180.293,811.0,182.69,119.467,52.43,55.73
3,4294.0,505.973,356.879,223.77,26.98,31.431,2428.0,1811.95,1164.667,298.997,221.237,86.743,95.76
4,4297.0,664.496,512.217,328.208,36.879,40.499,2990.0,2387.29,1607.333,300.413,226.997,119.917,130.225
5,4300.0,786.998,635.411,411.432,44.286,46.447,3003.667,2480.337,1644.333,300.787,226.997,153.09,134.923
6,4303.0,1076.007,922.041,621.858,55.956,55.27,4355.667,3646.733,2558.333,305.18,266.803,178.53,141.027
mean,4294.0,572.54,426.758,276.536,29.358,31.736,2493.619,1915.42,1292.0,249.056,182.39,95.193,91.399
max,4303.0,1076.007,922.041,621.858,55.956,55.27,4355.667,3646.733,2558.333,305.18,266.803,178.53,141.027
