,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4264.0,177.016,75.608,48.317,8.076,8.827,393.0,245.74,182.333,58.513,58.73,21.0,21.0
1,4267.0,185.328,83.56,51.417,10.842,12.256,429.0,268.25,196.667,170.167,113.757,28.5,29.005
2,4270.0,187.572,85.99,53.107,11.22,12.749,464.333,314.847,220.0,219.27,111.27,31.007,33.607
3,4273.0,201.892,100.336,60.991,14.804,17.235,496.333,386.227,265.667,295.88,142.0,43.51,51.01
4,4276.0,221.048,118.556,72.535,18.351,21.365,647.667,502.327,361.667,217.977,143.767,61.01,67.977
5,4279.0,283.776,179.626,115.913,28.195,30.79,1263.667,1117.94,865.667,295.867,199.257,98.523,111.7
6,4282.0,1065.914,941.904,813.663,65.721,59.969,4848.333,4703.28,4248.667,368.54,299.547,211.03,168.327
mean,4273.0,331.792,226.511,173.706,22.459,23.313,1220.333,1076.944,905.81,232.316,152.618,70.654,68.946
max,4282.0,1065.914,941.904,813.663,65.721,59.969,4848.333,4703.28,4248.667,368.54,299.547,211.03,168.327
