,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4179.0,309.296,205.662,146.521,36.981,37.942,1210.0,1077.177,935.0,316.767,259.897,153.22,133.52
mean,4179.0,309.296,205.662,146.521,36.981,37.942,1210.0,1077.177,935.0,316.767,259.897,153.22,133.52
max,4179.0,309.296,205.662,146.521,36.981,37.942,1210.0,1077.177,935.0,316.767,259.897,153.22,133.52
