,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4179.0,309.296,205.662,146.521,36.981,37.942,1210.0,1077.177,935.0,316.767,259.897,153.22,133.52
1,4182.0,341.944,237.742,158.465,35.755,38.099,1392.667,1260.587,979.333,328.137,231.223,138.523,133.092
mean,4180.5,325.62,221.702,152.493,36.368,38.02,1301.333,1168.882,957.167,322.452,245.56,145.872,133.306
max,4182.0,341.944,237.742,158.465,36.981,38.099,1392.667,1260.587,979.333,328.137,259.897,153.22,133.52
