,flow,numberOfCars,travelTime
877,0.396,5,10.941360071880615
878,0.36,5,11.465347988263606
879,0.335,5,12.169941720956595
880,0.31,5,13.000733688246449
881,0.355,5,13.669230951936118
882,0.26,4,13.18840062337782
883,0.335,5,12.974940117536526
884,0.276,4,12.879622630615733
885,0.283,4,12.572708238663047
886,0.219,3,12.098231964924619
887,0.308,4,11.857036065060715
888,0.371,4,12.399430261761017
889,0.307,4,11.482121924178596
890,0.298,4,11.939478360285765
891,0.303,4,11.749783414000406
892,0.254,4,13.077032591754868
893,0.376,4,11.841954772233247
894,0.374,4,11.640188184533354
895,0.302,4,11.785944431589751
896,0.319,4,11.59714068721523
897,0.296,4,12.014812425060079
898,0.148,2,11.98181946361563
899,0.467,5,11.657491717100754
900,0.313,4,11.390981020080336
901,0.315,4,11.311217383372725
902,0.31,4,11.393888336220915
903,0.31,4,11.459606036553678
904,0.208,3,11.619061533485763
905,0.389,4,11.034124480189783
906,0.301,4,11.342371264126918
907,0.305,4,11.126348562553343
908,0.298,4,11.461210627451749
909,0.192,3,13.35124864168229
910,0.302,3,12.863234910843147
911,0.219,3,13.04996422467818
912,0.149,2,12.309386249262698
913,0.347,4,11.34233720151848
914,0.306,4,11.145373587955504
915,0.208,3,11.941702843440474
916,0.148,2,11.558464490109445
917,0.266,3,13.265061853111334
918,0.128,2,13.845015583000627
919,0.217,2,11.76359821223534
920,0.382,4,12.47704408596664
921,0.32,5,12.95211068384045
922,0.397,6,14.31135402464247
923,0.384,6,14.050036209461581
924,0.328,5,14.021558177708346
925,0.259,4,13.877558126083631
926,0.392,5,13.052744588712168
927,0.342,5,12.954675852393624
928,0.282,4,12.607888412442865
929,0.217,3,11.795892098523957
930,0.352,4,12.056006590707765
931,0.284,4,12.441224925769701
932,0.171,3,12.801399015679266
933,0.355,4,12.274448075356375
934,0.212,3,12.449903604507973
935,0.296,5,12.29412746744578
936,0.361,5,12.558889726065935
937,0.301,4,11.921991153045862
938,0.296,4,12.287484083140939
939,0.223,3,11.90503142490504
940,0.326,4,11.408880477195915
941,0.319,4,11.055955563417147
942,0.317,4,10.718859769191752
943,0.317,4,10.722987683388856
944,0.35,5,11.876566988589605
945,0.305,4,12.051855537941499
946,0.426,5,11.2291390037075
947,0.364,5,11.425826435668348
948,0.31,4,11.250884946802215
949,0.315,4,11.355095739766261
950,0.143,2,11.746541094152416
951,0.258,2,10.937394135074264
952,0.295,3,11.813800385243873
953,0.158,2,11.186114035699358
954,0.301,3,11.263963675837962
955,0.32,4,12.28345731134088
956,0.351,5,12.460514539891072
957,0.361,5,12.386879604208453
958,0.356,5,12.714485481995501
959,0.39,5,12.181558697200927
960,0.316,4,11.177988836145378
961,0.24,3,10.774861984645062
962,0.417,4,11.06865578629468
963,0.472,5,11.120484049781137
964,0.297,4,11.510503106321075
965,0.448,5,11.210669435762398
966,0.369,5,11.49446580867357
967,0.321,5,12.373151580861334
968,0.315,5,11.962452879914672
969,0.375,5,11.724003272508115
970,0.298,4,11.98756692533151
971,0.296,4,12.078730005493522
972,0.234,3,11.736809471542664
973,0.083,1,10.870922965549475
974,0.238,2,10.928382740131525
975,0.145,2,11.693452761352205
976,0.247,3,12.490705205756038
977,0.217,3,12.278622919185946
978,0.214,3,12.383554937116951
979,0.242,3,12.485755257511695
980,0.216,3,12.476891515969186
981,0.233,3,11.396238770337312
982,0.227,3,11.69562177870209
983,0.23,3,11.800369028481594
984,0.229,3,11.819852750974475
985,0.31,4,11.43630192212445
986,0.3,4,12.36084749721943
987,0.461,5,11.74588422439059
988,0.279,4,12.765087857558228
989,0.275,4,12.92769158672403
990,0.194,3,14.073091169141719
991,0.368,4,12.9031016232546
992,0.322,4,12.445457064038457
993,0.158,2,11.2905183735663
994,0.27,3,12.513117477916282
995,0.214,3,12.465957248232607
996,0.128,2,13.923884772183914
997,0.201,3,13.535497834855846
998,0.233,4,13.483312235110954
999,0.262,4,13.548949024830119
1000,0.32,5,13.547519246625487
1001,0.263,4,13.310406126035538
1002,0.268,4,12.976235859948833
1003,0.465,6,12.600221625869425
1004,0.336,5,12.980870380887467
1005,0.333,4,13.3355510793947
1006,0.394,5,13.522585710768944
1007,0.351,5,12.499576600953818
1008,0.388,5,12.57168818144769
1009,0.494,6,12.771284222746202
1010,0.402,6,12.45777155512229
1011,0.318,5,13.134385345819922
1012,0.318,5,13.189640768748294
1013,0.239,4,13.978026488202765
1014,0.384,5,13.829317220887715
1015,0.356,5,12.87295483525445
1016,0.437,6,13.220276633371828
1017,0.364,5,11.589776127826063
1018,0.384,5,11.487086750946254
1019,0.381,5,12.034077421286899
1020,0.223,3,12.270201091975737
1021,0.383,4,11.78714974289355
1022,0.295,4,11.688454918799858
1023,0.536,6,11.208549893700084
1024,0.441,6,11.911954194491006
1025,0.445,6,11.802489175789267
1026,0.461,6,12.106214728092448
1027,0.392,5,11.58710440446803
1028,0.3,4,11.13056211809523
1029,0.401,4,11.20972500729462
1030,0.309,4,11.5549460839255
1031,0.302,4,11.225957378958643
1032,0.306,4,11.084025793358446
1033,0.306,4,11.16470397540248
1034,0.231,3,11.25103459435848
1035,0.317,5,11.342183662669704
1036,0.315,4,11.279510700633775
1037,0.315,4,11.28124635214624
1038,0.245,3,10.82554024924173
1039,0.247,3,10.756520407524075
1040,0.277,3,11.075440168825438
1041,0.17,2,10.306521083047684
1042,0.301,3,11.096509818441511
1043,0.239,3,11.014426431989861
1044,0.359,4,10.918178479948594
1045,0.321,4,11.122181765574481
1046,0.235,3,11.263903965603859
1047,0.341,4,11.052072455243447
1048,0.237,3,11.206049737951712
1049,0.278,3,10.84654198205731
1050,0.407,4,10.852460357121949
1051,0.339,4,11.178063507628057
1052,0.24,3,11.23991736428092
1053,0.399,4,10.973675526022891
1054,0.317,4,10.952689446383225
1055,0.244,3,10.76586264586156
1056,0.155,2,11.271419156393389
1057,0.321,3,11.1072120674914
1058,0.342,4,11.636008355451011
1059,0.233,3,11.6806584027644
1060,0.205,3,11.339517141763976
1061,0.236,3,11.072751079302918
1062,0.15,2,11.48004117102395
1063,0.144,2,11.699930796609973
1064,0.145,2,12.057768983700598
1065,0.23,3,12.334363582775893
1066,0.207,3,12.43123900488861
1067,0.472,5,12.12408839134751
1068,0.365,5,12.194463770796258
1069,0.349,5,12.762380939020726
1070,0.324,5,14.240310308829411
1071,0.291,5,14.966902964759939
1072,0.249,5,17.10976049801193
1073,0.325,5,15.8976708390797
1074,0.359,6,15.890922728726299
1075,0.327,6,15.241309854805326
1076,0.324,6,16.05917550430504
1077,0.29,6,18.581267833467365
1078,0.162,4,21.005080086733173
1079,0.315,5,16.682716254944527
1080,0.331,6,15.397643864763523
1081,0.177,3,14.685212064279002
1082,0.409,5,13.263240817370551
1083,0.342,5,12.652337962303719
1084,0.4,6,12.965812729489858
1085,0.426,6,13.027367217423238
1086,0.368,5,12.051633972640875
1087,0.333,5,11.838387371707714
1088,0.456,5,11.416061820989745
1089,0.303,4,11.7200666957834
1090,0.467,5,11.825898788184018
1091,0.375,5,11.26308128977587
1092,0.398,5,11.623893135392247
1093,0.384,5,11.3670052881923
1094,0.309,4,11.350049785328107
1095,0.309,4,11.30093073555297
1096,0.224,3,11.752203719975741
1097,0.25,3,11.990647777604474
1098,0.226,2,11.686802845726135
1099,0.213,3,11.694040160903924
1100,0.225,3,11.657353258719505
1101,0.285,4,11.496571872139942
1102,0.306,4,11.414925722099358
1103,0.217,3,12.142540547989908
1104,0.305,4,12.263787920008879
1105,0.223,3,12.119045179376606
1106,0.371,4,11.824675875805225
1107,0.225,3,11.695856401672184
1108,0.377,4,11.636549591684496
1109,0.281,4,11.316748122884604
1110,0.369,5,11.811494163603989
1111,0.433,6,11.476997238220571
1112,0.435,6,11.644170687762161
1113,0.379,5,11.725241621243818
1114,0.383,5,11.446886341521772
1115,0.383,5,11.459714590859083
1116,0.228,3,11.492192531635009
1117,0.387,4,11.402790828439883
1118,0.306,4,11.282252257261842
1119,0.43,5,11.842609893393117
1120,0.38,5,11.289020716722678
1121,0.277,4,12.193752277919508
1122,0.383,5,11.98887250025377
1123,0.212,3,12.31763792519221
1124,0.309,3,11.456281515412602
1125,0.224,3,11.730196213115951
1126,0.162,2,10.978573486979393
1127,0.179,2,10.706568847136895
1128,0.319,3,10.940054953727433
1129,0.166,2,10.692695899101883
1130,0.162,2,10.9456075781192
1131,0.167,2,10.651954452486663
1132,0.081,1,11.011863946219188
1133,0.296,3,12.113894245859836
1134,0.221,3,11.770673859216958
1135,0.385,5,11.832635508118702
1136,0.365,5,11.575755342579189
1137,0.366,5,11.755621709390022
1138,0.278,4,11.938133297105662
1139,0.271,4,12.457549953845394
1140,0.215,3,12.17386867882697
1141,0.365,5,12.724440508171083
1142,0.349,5,12.433200758567843
1143,0.359,5,12.421560179905722
1144,0.437,6,11.840377502738301
1145,0.372,5,11.817205121063019
1146,0.532,7,12.145317897887193
1147,0.422,6,13.902435142078408
1148,0.356,5,12.94787477600798
1149,0.276,4,13.0685747603994
1150,0.353,4,12.418033157477339
1151,0.208,3,13.028289990261882
1152,0.35,4,12.604806125664705
1153,0.34,5,12.649620531889184
1154,0.283,4,12.437983757228437
1155,0.278,4,12.718878508502517
1156,0.299,4,12.268619900180685
1157,0.283,4,12.582308308911704
1158,0.399,5,12.078568625966948
1159,0.32,4,11.578594676699499
1160,0.395,4,11.214931222045848
1161,0.325,4,11.159145928435889
1162,0.219,3,11.967967704545718
1163,0.417,4,10.988816490298777
1164,0.317,4,11.097477739024697
1165,0.295,4,11.577532353647427
1166,0.288,4,12.154109390754265
1167,0.262,4,12.783329760191346
1168,0.282,4,14.479466965226155
1169,0.272,4,13.240259503679892
1170,0.208,3,13.123057601179621
1171,0.069,1,11.995631596593919
1172,0.232,2,11.887464300810459
1173,0.195,3,11.990926149685777
1174,0.241,3,11.692373766060348
1175,0.355,4,12.06683155282889
1176,0.353,5,11.9939124652904
1177,0.287,4,12.887440708629706
1178,0.282,4,12.951734923768585
1179,0.282,4,12.757114746301603
1180,0.214,3,12.139912134410181
1181,0.351,4,12.212961708612271
1182,0.225,3,12.752877908198887
1183,0.463,5,11.839013799253387
1184,0.359,5,12.245169220345172
1185,0.345,5,12.751327567956478
1186,0.278,4,12.975796975609814
1187,0.221,3,12.400913528042956
1188,0.159,2,11.056161218921229
1189,0.272,3,13.03923592564811
1190,0.326,4,11.428396576622792
1191,0.422,6,11.815153693348606
1192,0.437,6,12.029213427844365
1193,0.356,5,12.485327924512841
1194,0.252,4,13.768820811499344
1195,0.371,4,11.88923339216785
1196,0.339,5,11.087206286654016
1197,0.244,3,10.631982255686802
1198,0.438,4,11.424349700673577
1199,0.439,5,11.613285742702123
1200,0.29,4,11.810767494017774
1201,0.387,5,12.283552332903604
1202,0.359,5,11.966076255813658
1203,0.336,5,11.989304036385281
1204,0.365,5,12.075575213834535
1205,0.276,4,12.966474351957263
1206,0.15,2,11.86043375999405
1207,0.281,3,12.6889408864539
1208,0.255,4,12.674677827994607
1209,0.205,3,11.714235500811427
1210,0.367,4,12.05232530020617
1211,0.372,5,11.772455483616898
1212,0.378,5,11.714857461855456
1213,0.302,4,11.764919727677086
1214,0.335,5,11.773201318308427
1215,0.386,5,11.497998426075505
1216,0.237,3,11.276247439970525
1217,0.369,4,11.591027456762037
1218,0.281,4,12.283663983337352
1219,0.275,4,12.388746290879308
1220,0.195,3,13.852447852374578
1221,0.345,4,12.762179572274217
1222,0.369,5,12.685701068468763
1223,0.282,4,12.647663510797521
1224,0.356,5,12.481359637648627
1225,0.294,4,12.160971030714634
1226,0.229,3,11.81026738570981
1227,0.219,2,11.84418986918459
1228,0.296,3,11.847478725220842
1229,0.224,3,11.84669806089741
1230,0.285,4,12.664891474044625
1231,0.283,4,12.632183043923629
1232,0.367,5,12.620763647276794
1233,0.382,5,12.310561781890208
1234,0.292,4,11.962735413115142
1235,0.288,4,12.171398617904515
1236,0.212,3,11.821947804758988
1237,0.314,4,12.50093906592871
1238,0.143,2,12.438588035336366
1239,0.435,4,11.99366558442079
1240,0.452,6,12.074201542565106
1241,0.448,6,11.907801848852067
1242,0.526,7,12.890219426744121
1243,0.491,7,12.5562739451667
1244,0.428,6,12.806017944038873
1245,0.284,4,12.677188559188366
1246,0.456,5,11.226721509067541
1247,0.338,4,11.275195863058128
1248,0.412,5,12.055517579280536
1249,0.284,4,12.141633934748274
1250,0.404,5,11.680701292922578
1251,0.305,4,11.716818765786195
1252,0.223,3,11.737284259238045
1253,0.311,3,11.186320591282799
1254,0.166,2,10.70780671313711
1255,0.161,2,10.967964192091571
1256,0.292,4,11.086943616806384
1257,0.32,4,11.137528155239398
1258,0.325,4,11.117565093797854
1259,0.312,4,11.243668393520384
1260,0.37,5,11.039023949982644
1261,0.33,4,10.925220151926794
1262,0.312,4,10.572284684031821
1263,0.4,4,10.852821786447354
1264,0.454,5,11.666589434554886
1265,0.357,5,12.308628641758595
1266,0.335,5,12.871632039586068
1267,0.343,5,13.096801716660822
1268,0.277,4,11.903103829248453
1269,0.215,3,11.737177671930692
1270,0.216,3,11.711396018846337
1271,0.144,2,11.720018142009328
1272,0.141,2,11.852649903155779
1273,0.075,1,11.44846425076513
1274,0.0,0,11.1
1275,0.0,0,11.1
1276,0.0,0,11.1
1277,0.0,0,11.1
1278,0.0,0,11.1
1279,0.106,2,17.08615255180265
1280,0.097,2,14.66749039914476
1281,0.208,4,13.816591276892076
1282,0.255,4,12.517251109450173
1283,0.28,4,11.88627755112811
1284,0.294,4,11.594638126853456
1285,0.305,4,11.370898209568429
1286,0.231,3,11.247556740494625
1287,0.267,3,13.468399201690525
1288,0.32,3,11.165910360004236
1289,0.37,4,11.344290846191537
1290,0.311,4,11.253049494642715
1291,0.202,3,12.144195230092027
1292,0.212,3,11.832933612802403
1293,0.126,2,12.621382819463623
1294,0.063,1,12.623688017790492
1295,0.063,1,12.574138640769071
1296,0.0,0,11.1
1297,0.0,0,11.1
1298,0.0,0,11.1
1299,0.0,0,11.1
1300,0.0,0,11.1
1301,0.0,0,11.1
1302,0.0,0,11.1
1303,0.0,0,11.1
1304,0.0,0,11.1
1305,0.0,0,11.1
1306,0.0,0,11.1
1307,0.0,0,11.1
1308,0.0,0,11.1
1309,0.0,0,11.1
1310,0.0,0,11.1
1311,0.0,0,11.1
1312,0.0,0,11.1
1313,0.0,0,11.1
1314,0.0,0,11.1
1315,0.0,0,11.1
1316,0.0,0,11.1
1317,0.0,0,11.1
1318,0.0,0,11.1
1319,0.0,0,11.1
1320,0.0,0,11.1
1321,0.0,0,11.1
1322,0.0,0,11.1
1323,0.0,0,11.1
1324,0.0,0,11.1
1325,0.0,0,11.1
1326,0.0,0,11.1
1327,0.0,0,11.1
1328,0.0,0,11.1
1329,0.0,0,11.1
1330,0.0,0,11.1
1331,0.0,0,11.1
1332,0.0,0,11.1
1333,0.0,0,11.1
1334,0.0,0,11.1
1335,0.0,0,11.1
1336,0.0,0,11.1
1337,0.0,0,11.1
1338,0.0,0,11.1
1339,0.0,0,11.1
1340,0.0,0,11.1
1341,0.0,0,11.1
1342,0.0,0,11.1
1343,0.0,0,11.1
1344,0.0,0,11.1
1345,0.0,0,11.1
1346,0.0,0,11.1
1347,0.0,0,11.1
1348,0.0,0,11.1
1349,0.0,0,11.1
1350,0.0,0,11.1
1351,0.0,0,11.1
1352,0.0,0,11.1
1353,0.0,0,11.1
1354,0.0,0,11.1
1355,0.0,0,11.1
1356,0.0,0,11.1
1357,0.0,0,11.1
1358,0.0,0,11.1
1359,0.0,0,11.1
1360,0.0,0,11.1
1361,0.0,0,11.1
1362,0.0,0,11.1
1363,0.0,0,11.1
1364,0.0,0,11.1
1365,0.0,0,11.1
1366,0.0,0,11.1
1367,0.0,0,11.1
1368,0.0,0,11.1
1369,0.0,0,11.1
1370,0.0,0,11.1
1371,0.0,0,11.1
1372,0.0,0,11.1
1373,0.0,0,11.1
1374,0.0,0,11.1
