,flow,numberOfCars,travelTime
113,0.413,5,12.834254247520306
114,0.405,5,13.200343898061687
115,0.272,4,12.239989467401884
116,0.585,6,11.763403056144572
117,0.495,7,12.402853333238154
118,0.524,8,13.162432446218215
119,0.51,8,13.9622203106363
120,0.351,6,14.870754519683182
121,0.431,6,14.343870154068934
122,0.348,6,15.04096785908655
123,0.214,4,13.72999800744972
124,0.483,7,12.819991930850149
125,0.392,6,13.211867845570119
126,0.398,6,12.990603976468414
127,0.336,5,13.154712756671136
128,0.279,4,13.229487700214037
129,0.198,3,13.051343779880618
130,0.371,4,11.788711214446511
131,0.295,4,11.842805598226082
132,0.246,3,10.911474910844845
133,0.334,4,11.077414781827352
134,0.311,4,11.430941338998917
135,0.325,4,10.942237756735175
136,0.249,3,10.769199775594739
137,0.312,4,11.368690768991955
138,0.223,3,11.934431949856354
139,0.39,4,11.423234586964806
140,0.304,4,11.116906379715708
141,0.473,5,11.11323022808929
142,0.312,4,11.386858579033788
143,0.241,3,10.863560543942356
144,0.375,4,11.477218663595824
145,0.153,2,11.34878277497138
146,0.295,3,10.796054912086465
147,0.244,3,10.76183068695206
148,0.331,4,11.86548628932955
149,0.31,4,11.44356078438258
150,0.267,4,11.457769749360056
151,0.234,3,11.237670630165848
152,0.229,3,11.323110915067389
153,0.288,4,10.988962885512354
154,0.24,3,11.048080283105852
155,0.454,5,11.214088449140093
156,0.32,4,11.098727323511056
157,0.379,4,11.497688229587713
158,0.306,4,11.664127595232035
159,0.297,4,11.550308820396875
160,0.227,3,11.40874955372389
161,0.304,3,11.30824913751372
162,0.236,3,11.196379631100783
163,0.23,3,11.684615636810616
164,0.228,3,12.035444444557292
165,0.143,2,12.489197309265109
166,0.142,2,12.49886887636814
167,0.17,2,12.067566904065469
168,0.138,2,11.967732953057794
169,0.239,3,11.598005816658269
170,0.297,4,12.4052931727023
171,0.286,4,12.53044260221249
172,0.289,4,12.688528991837261
173,0.271,4,12.62973168950386
174,0.411,5,13.017277766866378
175,0.442,6,12.388439325710577
176,0.438,6,12.174651035816733
177,0.484,6,11.75032863086768
178,0.445,6,11.977476301612842
179,0.352,5,12.77712256468147
180,0.209,3,12.52729417893909
181,0.423,4,11.983597029737513
182,0.21,3,11.900030672614609
183,0.388,5,20.396305420691306
184,0.215,4,18.619457642465825
185,0.291,5,17.099903578534814
186,0.301,5,15.208877905153233
187,0.305,5,15.254339840379835
188,0.253,4,13.629510214681531
189,0.271,4,13.391374474163296
190,0.218,3,11.845804950378673
191,0.232,3,11.375117499428686
192,0.205,3,13.077063361390696
193,0.357,4,12.896076634803102
194,0.328,5,16.584381555116558
195,0.34,5,14.318653415610036
196,0.318,5,14.120018470598039
197,0.331,5,13.30742207049916
198,0.273,4,12.386993607149623
199,0.27,4,13.138235103332484
200,0.34,4,12.885727632771882
201,0.262,4,13.297254688512739
202,0.426,5,12.511748779295992
203,0.287,4,12.384686470768706
204,0.449,5,11.991078408449384
205,0.375,5,11.848754103042179
206,0.411,6,14.46621632540083
207,0.408,6,13.329900599697513
208,0.448,7,14.259682760707694
209,0.401,6,13.017978484985493
210,0.491,7,12.641131248331732
211,0.617,8,12.130225575177262
212,0.525,7,11.97580140457355
213,0.696,8,12.041897405613234
214,0.782,10,12.446469674011556
215,0.736,10,13.332737360094152
216,0.744,11,13.53122768600802
217,0.85,13,13.485790665355783
218,0.806,12,13.198061020119262
219,0.852,13,14.112461786798287
220,0.605,10,14.71115078723134
221,0.807,11,14.273123857673319
222,0.63,10,14.00414481693607
223,0.739,11,13.980601285275366
224,0.587,9,13.726219561332208
225,0.617,9,13.733904960647076
226,0.491,8,13.333972629865183
227,0.462,7,13.71626836599762
228,0.515,9,13.664380576640724
229,0.372,6,13.912720268578859
230,0.521,7,13.330200896436711
231,0.319,5,13.828447420104144
232,0.314,5,14.015050053940971
233,0.271,4,13.223473955677749
234,0.347,5,13.301682238749219
235,0.273,4,12.747862912392236
236,0.362,5,12.619156159573627
237,0.301,4,11.827529575525164
238,0.417,5,11.599439273207786
239,0.371,5,12.01728459494764
240,0.297,4,11.896550137148418
241,0.346,5,12.619813734417772
242,0.289,4,12.171940782296176
243,0.223,3,11.982269614194806
244,0.453,5,11.813875909789452
245,0.386,5,11.46030579437349
246,0.488,6,11.610042731730136
247,0.297,4,11.970900589249055
248,0.36,4,12.329963235003556
249,0.345,5,11.637536377880927
250,0.297,4,11.840169769548208
251,0.234,3,11.280949384710446
252,0.388,4,11.11909584024308
253,0.392,5,11.696513705626074
254,0.304,4,11.675252202114486
255,0.303,4,11.697560525080767
256,0.231,3,11.511620329065153
257,0.231,3,11.437897485417729
258,0.154,2,11.515669998992184
259,0.219,3,17.89519924814922
260,0.201,3,15.534015098799141
261,0.175,3,15.586897497304173
262,0.185,3,13.993054843944606
263,0.205,3,12.723042786116455
264,0.301,4,12.873215372482967
265,0.169,3,14.602619423582542
266,0.349,4,12.765881812144062
267,0.284,4,11.811713684229247
268,0.295,4,12.771048227580945
269,0.446,5,11.90476643543787
270,0.435,6,12.432577741877312
271,0.346,5,12.632553293594555
272,0.414,6,12.491070962025477
273,0.429,6,12.45408961841433
274,0.288,4,12.393844393947873
275,0.491,6,13.323972682684094
276,0.321,5,13.78207393620767
277,0.269,4,13.201490693178496
278,0.417,5,12.745515014429294
279,0.345,5,13.053823305444446
280,0.271,4,13.451539022581112
281,0.203,3,13.42358268282957
282,0.26,4,17.479017719422757
283,0.369,5,15.38802069946583
284,0.308,5,14.683325153542864
285,0.411,6,14.00851389155643
286,0.449,7,13.696714020681576
287,0.48,7,13.622739249287118
288,0.63,9,12.315255786194598
289,0.586,8,12.022039563178973
290,0.833,10,11.549720148584788
291,0.672,9,11.68059597365043
292,0.948,12,12.449877162479456
293,0.741,11,12.559023583569832
294,0.801,11,13.073217216527798
295,0.887,12,13.211447499571683
296,0.711,11,14.52053930862851
297,0.651,10,15.104652553765877
298,0.634,11,16.311655194983803
299,0.523,10,15.389363569735483
300,0.493,9,15.782227337729283
301,0.661,11,16.278395207567733
302,0.553,10,14.445482342097403
303,0.568,10,15.747593857961322
304,0.457,9,17.321858616136993
305,0.403,8,16.434468295434954
306,0.584,9,15.778112034552134
307,0.395,7,14.989493257775973
308,0.531,8,13.40111127400069
309,0.424,7,13.131824974476874
310,0.413,7,13.370169758156003
311,0.206,4,14.173592609037605
312,0.46,6,13.819348728192107
313,0.298,5,13.999402489680612
314,0.223,4,14.970107139585549
315,0.231,4,14.491920740286636
316,0.248,4,15.145479950737606
317,0.197,3,15.558504268992715
318,0.259,4,13.632749496710383
319,0.221,3,12.035509358353888
320,0.224,3,11.817622905333941
321,0.142,2,12.51618827548192
322,0.392,4,11.927725940836623
